Company Name,Experience With SBIR Program,Number of Employees,Is Woman Owned,Is Socially and Economically Disadvantaged,Is HUBzone Owned
AMBIHARV INC.,1,1,No,No,No
"ONECYTE BIOTECHNOLOGIES, Inc.",3,2,No,No,No
SCISCO GENETICS INC,3,N/A,No,No,No
(DCS) DIMENSIONAL CONTROL SYSTEMS,2,12,No,No,No
-9 2 -6.LLC,1,4,No,No,No
0 BASE DESIGN LLC,7,6,Yes,No,No
"0 DB CODING, INC.",1,1,No,No,No
"10 BLADE, INC.",2,N/A,No,No,No
"109 Therapeutics, Inc.",2,3,No,No,No
10dBx LLC ,1,1,No,No,No
1109 Bravo L.L.C.,2,5,No,No,No
"1442 S. FALLON STREET, LLC",1,2,Yes,Yes,Yes
149 Medical Inc.,2,5,No,No,No
1910 GENETICS INC.,1,1,Yes,No,No
"1HUDDLE, INC",4,36,No,No,No
1st Detect Corp,1,8,No,No,No
"1st Edge, LLC",2,18,No,No,No
1ST PLAYABLE PRODUCTIONS LLC,3,44,Yes,No,No
1st1 Technologies LLP,1,4,No,No,No
2 Circle Inc,2,43,No,No,No
20 20 Genesystems Inc,17,20,Yes,Yes,No
202 Group LLC,2,3,No,No,No
"2020 Company, LLC",2,49,No,Yes,No
214 Technologies Inc.,4,11,No,No,No
21MedTech LLC,1,5,Yes,No,No
"21st Century Medicine, Inc.",10,22,No,No,No
"21ST CENTURY SYSTEMS, INC.",106,9,No,No,No
"21ST CENTURY THERAPEUTICS, INC.",4,9,No,No,Yes
231 Sheep LLC,1,7,No,No,No
"23ANDME, INC.",8,236,Yes,No,No
"2B TECHNOLOGIES, INC.",13,14,No,No,No
"2CIMPLE, INC.",2,5,No,Yes,No
2enovate LLC,1,1,No,Yes,No
2g Enterprises,2,7,No,No,No
2LRESEARCH,7,2,No,Yes,No
"2morrow, Inc.",1,15,No,No,No
"2PHASE TECHNOLOGIES, INC.",6,14,No,No,No
2W ITech LLC,6,4,No,Yes,No
2witech Solutions LLC,2,3,No,Yes,No
2X4LAB LLC,1,3,No,No,No
"3 C CATTLE FEEDERS, INC.",2,1,No,No,No
"3 DEGREES OF SEPARATION, INC",1,5,No,No,No
3 H Company,3,5,No,Yes,No
"3 Phoenix, Inc.",53,178,No,No,No
"3 Sigma Research, Inc.",18,6,No,No,No
"3-C Institute for Social Development, Inc.",83,N/A,Yes,No,No
3-ONE-2,1,1,No,No,No
300 BELOW INC,3,5,No,No,No
"360FRESH, INC.",2,N/A,No,No,No
"361 Interactive, Llc",17,8,No,No,No
3AM INNOVATIONS INC,1,11,No,No,No
3BAR BIOLOGICS INC.,3,3,No,No,No
3c Semiconductors,2,2,No,No,No
"3c Systems, Inc.",8,3,No,No,No
3D AERIAL SOLUTIONS LLC,2,6,No,No,No
"3D Array Technology, LLC",4,2,No,No,No
"3D BIOMATRIX, INC.",1,0,No,No,No
"3D Biotek, LLC",3,3,No,Yes,No
3D Cloud LLC,2,4,No,No,No
3D CONSTRUCTION CO.,1,N/A,Yes,No,No
"3D Control Systems, Inc.",1,15,No,No,No
3D Educational Services Inc.,1,2,No,No,No
"3D Epitaxial Technologies, LLC ",1,3,No,No,No
"3D Glass Solutions, Inc. ",5,15,No,No,No
"3D Health Solutions, Inc.",1,1,No,No,No
"3D Imaging Drug Design and Development, LLC",2,8,No,Yes,No
3d Informatics,1,3,No,Yes,No
3D Microfluidics LLC,1,1,No,No,No
"3D Molecular Designs, LLC",9,36,Yes,No,No
3D PIPELINE SIMULATION CORP.,1,9,No,No,No
3D RESEARCH CORP.,2,112,Yes,Yes,No
3D TECHNOLOGY LABORATORIES,9,10,Yes,No,No
"3D-Computing, Inc.",3,3,No,No,No
3D-SensIR Inc,1,12,No,No,No
"3DB LABS, INC.",2,4,No,No,No
3DEO INC,2,8,No,No,No
"3DEO, Inc.",2,2,No,No,No
"3Derm Systems, Inc.",3,7,No,No,No
3DFlexible Inc,7,6,No,No,Unavailable
3DFortify Inc.,2,26,No,No,No
3dgeo Development Inc.,26,8,No,No,No
3dh Corporation,1,20,Yes,Yes,No
3DI (FORMERLY EARTH INFO SYS. CORP),1,N/A,No,No,No
"3DMD, LLC",2,0,No,No,No
"3DNOL, LLC",1,3,No,No,No
3DP Security Inc,1,2,No,No,No
3DSIM LLC,7,19,No,No,No
"3DT Holdings, LLC",23,8,No,No,No
"3DVIS TECHNOLOGIES, INC.",2,3,No,No,No
"3E TECHNOLOGIES INTERNATIONAL, INC.",40,411,No,No,No
"3F, LLC",5,4,No,No,No
3GCOM,1,1,No,Yes,No
3Gear Systems,1,1,No,No,No
"3GEN, LLC",2,N/A,No,No,No
"3Helix, Inc.",2,4,No,No,No
"3I Diagnostics, Inc.",2,5,No,No,No
"3i Nanotech, Inc.",1,1,No,No,No
3NEWABLE LLC,2,3,Yes,No,No
3P BIOTECHNOLOGIES,3,6,No,No,No
"3PrimeDx, Inc",1,6,No,No,No
"3RD MILLENNIUM, INC",5,N/A,No,No,No
3s Navigation (dba For,5,N/A,No,No,No
3SCAN INC.,1,38,No,No,No
3SRM INC.,3,2,No,No,No
"3T Technologies, LLC",1,2,No,No,No
3tech Corp,1,N/A,Yes,Yes,No
"3TEX, Inc.",43,41,No,No,No
"3Tier Environmental Forecast Group, Inc.",1,11,No,No,No
3TP IMAGING SCIENCES,1,N/A,No,No,No
"4 Cycle Technologies, Inc.",1,7,No,No,No
4 D Technology Corporation,8,36,No,No,No
"4-D IMAGING, INC.",1,3,No,No,No
4-Web Spine Inc.,2,2,No,No,No
4042 AI LLC,1,4,No,No,No
410 MEDICAL INC,3,19,No,No,No
422 Group,2,14,No,No,No
"42Bio, LLC",1,3,Yes,No,No
451 TECH L.L.C.,1,16,No,No,No
490 BIOTECH INC,11,8,No,No,Yes
"4CS BREEDING TECHNOLOGIES, INC.",1,2,No,No,No
4D Forge LLC,1,4,Yes,Yes,No
"4D MAKER, LLC",1,1,Yes,No,No
"4D TECH SOLUTIONS, INC.",5,21,No,No,No
4D Teleport Technologies,1,4,No,No,No
4D VALUE ADDED SOLUTIONS TEAM,1,1,No,No,No
"4DGENOME, INC.",1,5,No,No,No
4DVideo,2,4,No,No,No
"4E THERAPEUTICS, INC.",2,2,No,No,No
"4EMPOWERMENT.COM, INC.",1,5,Yes,No,No
"4pi Analysis, Inc.",5,N/A,No,No,No
4POWER LLC,2,3,No,No,No
"4S - SILVERSWORD SOFTWARE AND SERVICES, LLC",8,10,No,Yes,Yes
4TH PHASE WATER TECHNOLOGIES LLC,1,2,No,No,No
4th Wave Imaging Corporation,12,7,No,No,No
4th-Phase Inc,1,8,No,No,No
"4WAVE, INC.",3,11,No,No,No
"4WIND SCIENCE AND ENGINEERING, LLC.",2,2,No,Yes,No
"4WIND TECHNOLOGIES, INC.",1,2,No,No,No
"5 Point App, Inc.",1,3,No,No,No
"5, Inc. (full Immersion",2,3,Yes,No,No
"5-D SYSTEMS, INC.",12,37,No,No,No
"525 Solutions, Inc.",5,2,No,No,Yes
"5D Robotics, Inc.",3,22,No,No,No
"5M BIOMED, LLC",3,10,No,No,No
"5ME, LLC",1,36,No,No,No
5VS LLC,1,5,No,No,No
6crickets Inc.,1,10,Yes,Yes,No
6K INC,7,43,No,No,No
7 Hills Pharma LLC,7,1,No,No,No
712 North Inc.,1,1,No,No,No
"7Solar Technologies, Inc.",1,4,No,No,No
8VA Corporation,2,3,No,No,No
911 SECURITY CAMERAS,1,24,No,No,No
A &amp; D Assoc.,2,4,No,No,No
A &amp; E Associates,2,N/A,No,No,No
"A &amp; H STABILITAS VENTURES, INC.",2,8,No,No,No
A &amp; J Manufacturing Co.,1,48,No,No,No
"A &amp; O, Inc.",1,N/A,No,No,No
A &amp; P TECHNOLOGY,6,180,No,No,No
A and D Assay,2,N/A,No,No,No
"A B TECHNOLOGIES, INC.",1,20,No,Yes,No
"A CARROT, INC. WHICH WILL DO BUSINESS IN CALIFORNIA AS ACARROT.AI",1,3,No,No,No
A E RESOURCES INC,1,3,No,No,No
A J Mulac,1,N/A,No,No,No
A J RHEM &amp; ASSOCIATES INC,1,10,No,Yes,No
"A P Ventures, LLC",1,48,Yes,Yes,No
"A T A, LLC",2,40,No,No,No
A Woman&#039;s Health Concern,2,N/A,No,No,No
"A&amp;G PHARMACEUTICAL, INC.",15,27,No,No,No
A&amp;Q NanoDesigns,1,N/A,No,No,No
A&#039;as Inc.,1,1,Yes,Yes,No
"A-Alpha Bio, Inc.",3,5,No,No,No
"A-B-Sea Research, Inc.",1,3,No,Yes,No
"A-P-T Research, Inc.",1,180,No,No,No
A-TECH CORPORATION,104,280,No,No,No
A. BROWN DESIGN,4,1,No,No,No
A. P. PHARMA,1,N/A,No,No,No
A.i. Technology Inc,3,10,No,No,No
A.J. Boggs and Company,3,N/A,No,No,No
"A.J. Devaney Assoc., Inc.",3,4,No,No,No
A.k. Engineering,2,3,No,No,No
A.M. Todd Company,1,N/A,No,No,No
"A.T.E. SOLUTIONS, INC.",3,3,No,No,No
"A.U. Software, Incorporated",6,N/A,No,No,No
"A.W. CAIN &amp; COMPANY, INC.",2,1,No,No,No
A/C &amp; Mechanical Services Corp,3,N/A,No,Yes,No
A/g Technology Corp.,6,N/A,No,No,No
A/s/k Associates,2,N/A,No,No,No
A1-chem Fuels Inc.,2,N/A,No,No,No
A10 Systems LLC,5,3,No,Yes,No
A123 Systems,2,N/A,No,No,No
A2 TECHNOLOGIES,1,21,No,No,No
A2 Therapeutics Inc.,1,1,No,Yes,No
A2Z TECHNOLOGIES CORP.,3,N/A,No,No,No
AA Plasma LLC,10,7,No,No,No
"AAAA Energy Enterprises, Inc.",1,1,No,No,No
"AAAS SCIENCE PUBLICATIONS, INC.",3,N/A,No,No,No
AAC,1,N/A,No,No,No
AAC International,11,4,No,Yes,No
"AADI, LLC",2,1,No,No,No
"AAKEN LABORATORIES, INC.",2,3,No,No,No
"AARDEN PHARMACEUTICALS, INC.",1,2,No,No,No
Aarno Labs LLC,4,12,No,No,No
Aasa Inc,1,7,No,No,No
"Aastrom Biosciences, Inc.",24,N/A,No,No,No
Aavishkar LLC,1,1,Yes,Yes,No
AAVOGEN INC,2,1,Yes,No,No
"Abacus Controls, Inc.",7,N/A,No,No,No
"ABACUS DIAGNOSTICS SYSTEMS, INC.",2,N/A,No,No,No
"ABACUS HEALTH SOLUTIONS, LLC",15,35,No,No,No
Abacus Programming Corp,2,62,No,No,No
"Abalone Bio, Inc.",6,5,No,No,No
Abamis IT Solutions,1,3,No,Yes,No
Abanti Research And Develment,1,1,Yes,No,No
Abaris,14,N/A,No,No,No
"ABASTAR MDX, INC.",1,0,No,No,No
Abbott Ball Company,2,71,No,No,No
Abbott on Call Inc,2,16,Yes,No,No
Abceutics,1,2,No,No,No
Abcombi Biosciences Inc ,4,3,No,No,No
"Abcuro, Inc.",1,2,No,No,No
"ABD BIOQUEST, INC.",1,N/A,Yes,No,Yes
ABE BELKIND &amp; ASSOC.,2,1,No,No,No
Abeam Technologies Inc.,12,19,No,No,No
Abek Inc.,1,N/A,No,No,No
Abel Company,22,N/A,No,No,No
Abela Laser Systems,2,N/A,No,No,No
ABEOME CORPORATION,6,2,No,No,No
"ABGENIX, INC.",2,N/A,No,No,No
Abi,1,7,No,No,No
"ABID, INC.",1,0,No,No,No
AbiliLife Inc.,1,2,No,No,No
"ABILITA BIO, INC.",4,8,No,No,No
"Abilitech Medical, Inc.",1,4,Yes,Unavailable,Unavailable
Ability Engineering Technology,1,N/A,Yes,No,No
ABILITY INTERACTIVE LLC,1,1,No,No,No
"ABIOMED, INC.",64,N/A,No,No,No
"Abj Integration Technologies,",3,2,Yes,No,No
ABL ENGINEERING LLC,1,3,No,No,No
ABL Space Systems Company,3,95,No,No,No
"ABLATION NUMERICS, INC.",1,0,No,Yes,No
Ablaze Development Corporation ,5,5,No,No,No
"ABLAZE SYSTEMS, LLC",1,2,No,No,No
ABLELINK TECHNOLOGIES INC,63,N/A,No,No,Yes
"Ablitech, Inc.",2,4,No,No,Yes
ABM,1,3,Yes,No,No
"AbM Engineering, LLC",1,4,Yes,No,Yes
ABN,7,18,No,No,No
"Abom, Inc.",2,8,No,No,Yes
"ABOVE FITNESS PRODUCTS, LTD",1,N/A,No,No,No
"ABQMR, INC.",4,N/A,No,No,No
"Abram Scientific, Inc.",3,1,No,No,No
ABRATECH CORPORATION,37,N/A,No,No,No
"Abraxis, Inc.",7,15,No,Yes,No
"ABREOS BIOSCIENCES, INC.",11,N/A,No,No,No
"Abri Science, LLC",1,2,No,No,Yes
ABRICATE INC.,1,3,No,Yes,No
Abs Materials Inc.,7,22,No,No,No
"Absolute Nano, LLC",1,3,No,No,No
ABSORPTION SYSTEMS LLC,2,N/A,No,No,No
ABSTRACT ENGINEERING LLC,2,1,No,No,No
"abSynapTex, LLC",1,3,No,No,No
Abt Associates Inc.,2,N/A,No,No,No
ABT Molecular Imaging,2,42,No,No,No
ABTECH CORPORATION,40,N/A,No,No,No
"ABTECH INDUSTRIES, INC.",1,16,No,No,No
"Abtelum Biomedical, Inc. ",1,3,No,No,No
"ABTERRA BIOSCIENCES, INC.",11,9,No,No,No
"Abwiz Bio, Inc.",2,8,No,No,No
"Abzyme Therapeutics, LLC",21,8,No,No,No
"AC DIAGNOSTICS, INC.",5,1,No,No,No
"AC Global Risk, Inc.",3,20,No,No,No
"AC MATERIALS, INC.",7,5,Yes,No,No
"Aca Industries, Inc.",5,N/A,No,No,No
"ACACIA BIOSCIENCES, INC.",5,N/A,No,No,No
"ACADEMIC EDGE, INC.",22,N/A,No,No,No
Academic Pharmaceuticals Inc,6,3,No,No,No
ACADEMIC RESEARCH ENTERPRISES,1,N/A,No,No,No
"ACADEMIC SOFTWARE, INC.",15,N/A,No,No,No
Academic Success For All Learners,2,7,No,No,No
"Acadia Optronics, Llc",19,10,No,No,No
"ACADIA PHARMACEUTICALS, INC.",3,0,No,No,No
Acadian,1,2,No,No,No
ACADIAN RESEARCH &amp; DEVELOPMENT LLC,2,3,No,No,No
"ACADUCEUS PHARMACEUTICS, INC.",3,N/A,Yes,No,No
"ACAMBIS, INC.",1,N/A,No,No,No
"Acanthus, Inc",1,5,No,No,No
ACATECHOL INC,1,2,No,No,No
Accacia International LLC,11,2,No,No,No
Accel Catalysis Inc.,7,N/A,No,No,No
"ACCEL DIAGNOSTICS, LLC",8,5,Yes,Yes,Yes
Accel Software Engineering,2,3,No,No,No
ACCEL-RF CORPORATION,5,15,No,No,No
"ACCELALOX, INC.",1,0,No,No,No
ACCELERATE WIND INC,2,6,Yes,No,No
"Accelerated AG Technologies, LLC",3,9,No,No,No
"Accelerated Data Works, Inc.",2,12,No,No,No
"ACCELERATED MEDICAL DIAGNOSTICS, INC",4,0,No,No,No
Accelerated Processors Inc.,2,N/A,No,No,No
Acceleration Consultants Inc,1,N/A,Yes,No,No
ACCELERATIONS EDUCATIONAL SOFTWARE,4,N/A,No,No,No
Accelerator Technology Corporation,19,4,No,No,No
Accelereyes LLC,8,10,No,No,No
Accelergy Corporation,1,8,No,No,No
"Accelero Biostructures, Inc.",2,3,No,No,No
"Accelevir Diagnostics, LLC",11,5,Yes,No,No
"Accelogic, LLC",25,36,No,No,No
"Accent Assays, Inc.",1,4,No,No,Yes
"ACCENTS ON HEALTH, INC.",11,20,Yes,No,No
"ACCESS BIO, INC.",6,9,No,Yes,No
"ACCESS CONSULTING INTRNTL, INC.",1,N/A,No,No,No
"Access Dynamics, Inc.",1,1,No,No,No
"ACCESS OPTICAL NETWORKS, INC.",1,9,No,Yes,No
"ACCESS PHARMACEUTICALS, INC.",2,28,No,No,No
Access Sensor Technologies LLC,14,7,No,No,No
Access Tech,1,1,No,No,No
"Access To Recreation, Inc.",1,N/A,No,No,No
Access/Abilities,1,N/A,No,No,No
AccessData Corporation,2,140,No,No,No
"ACCESSIBLE DESIGNS, INC.",5,N/A,No,No,No
"Accessible Designs-Adjustable Systems, Inc.",2,N/A,No,No,No
Accessible Designs/Adjustable,6,N/A,No,No,No
ACCESSWORKS CORPORATION,1,3,No,Yes,No
Accident Prevention Group,5,N/A,No,No,No
"Accio Energy, Inc.",1,3,Yes,No,No
Accion Systems Inc,2,49,No,No,No
"Accipiter Systems, Inc",8,5,No,No,No
"ACCIUM BIOSCIENCES, INC.",1,N/A,No,No,No
ACCLAIM BIOTECHNOLOGY,1,N/A,No,No,No
"Acclima, Inc.",4,10,No,No,No
"ACCORD BIOMATERIALS, INC.",2,N/A,No,No,No
"ACCORD SOLUTIONS, INC",10,4,Yes,No,No
"ACCOUNTABILITY SOLUTIONS, INC.",2,0,Yes,No,No
"Accsys Technology, Inc.",19,N/A,No,Yes,No
"Acctek Associates, Inc.",6,1,No,No,No
"ACCU MEASUREMENT AND TESTING, INC.",1,4,Yes,Yes,No
"Accu-sort Systems, Inc.",1,24,No,No,No
"Accu-weather, Inc.",1,N/A,No,No,No
"AccuBreath, Inc.",1,2,No,No,No
Accudava,1,2,Yes,No,No
"ACCUDYNE SYSTEMS, INC.",12,30,No,No,No
"ACCUER, INC.",1,4,No,No,No
ACCUGENOMICS,1,7,No,No,No
Accuhealth Technologies,1,6,Yes,Yes,No
"ACCULASER, INC.",1,4,No,No,No
"ACCUMED SYSTEMS, INC.",3,N/A,No,No,No
"Accumetrics Assoc., Inc.",1,17,No,No,No
AccuPS LLC,1,2,No,No,No
ACCURATE ASSESSMENTS,1,N/A,No,No,No
ACCURATE AUTOMATION CORPORATION,138,12,No,No,No
Accurate Environmental LLC,1,55,No,No,No
ACCURATE SOLUTIONS IN APPLIED PHYSICS LL,2,4,No,No,No
Accuray Incorporated,3,460,No,No,No
ACCURE HEALTH INC,1,4,No,No,No
"Accure Medical, LLC",1,3,Yes,No,No
Accuronix Therapeutics Inc,2,3,No,No,No
"AccuShoot, Inc.",1,4,No,No,No
"Accusol, Inc.",1,2,No,No,No
"Accustrata, Inc.",14,6,No,No,No
Accuwave Corp.,21,N/A,No,No,No
ACE Running LLC,2,2,No,No,No
"ACEA Biosciences, Inc.",1,0,No,No,No
Acel Inc,1,10,No,No,No
"Acelerox, LLC",1,2,No,No,No
"ACELL, INC.",13,N/A,No,No,No
"ACELLENT TECHNOLOGIES, INC",69,20,Yes,Yes,No
"Acelot, Inc.",7,2,No,No,No
ACENT LABORATORIES LLC,11,16,No,No,No
"Acenta Discovery, Inc.",7,N/A,No,No,No
ACENTECH INCORPORATED,22,50,No,No,No
"ACENTECH, INC.",3,45,No,No,No
"Acenxion Biosystems, Inc.",1,2,No,No,No
"AcePre, LLC",4,7,No,No,No
"ACERA BIOSCIENCES, INC.",5,N/A,No,No,No
"ACES QC, LC",3,5,No,No,No
Aces Research LLC,1,N/A,No,No,No
"Aceso Plasma, LLC",2,2,No,No,No
"Acetaminophen Toxicity Diagnostics, LLC",3,N/A,No,No,No
"ACETYLON PHARMACEUTICALS, INC.",1,0,No,No,No
"ACG, LLC",2,11,No,No,No
ACHERX LLC,1,2,No,No,No
"ACHEVE TECHNOLOGY, INC.",1,0,No,No,No
"ACHIEVE LIFE SCIENCES, INC.",1,13,No,No,No
"Achillea Research, Inc.",1,1,No,No,No
"Achilles Heel Technologies, Inc",3,15,No,No,No
"Achillion Pharmaceuticals, Inc.",2,N/A,No,No,No
ACHRONIX SEMICONDUCTOR LLC,1,5,No,No,No
Aci Technologies Inc,4,55,No,No,No
"ACIONT, INC.",7,N/A,No,No,No
Ackrad Laboratories Inc,1,N/A,No,No,No
"ACLARA BIOSCIENCES, INC.",1,N/A,No,No,No
"ACLARIS MEDICAL, LLC",2,0,No,No,No
Aclarity LLC,2,2,Yes,No,No
"ACME ATRONOMATIC, LLC",1,35,No,No,No
"Acme Express, Inc.",8,4,No,No,Yes
ACME GENERAL CORP,1,12,No,No,No
Acom Microwave,1,N/A,No,No,No
"Acomhal Research, Inc.",2,2,No,No,No
"Acorda Therapeutics, Inc.",12,N/A,No,No,No
Acorn Nmr,1,N/A,No,No,No
"Acorn Science &amp; Innovation, Inc.",4,20,No,No,No
Acoustech Corporation,6,2,No,No,No
"Acoustic Biosystems, Inc.",3,3,No,No,No
Acoustic Cytometry Systems,1,6,No,No,No
Acoustic Emission Technology,1,N/A,No,No,No
"ACOUSTIC IDEAS, INC.",9,2,No,No,No
"ACOUSTIC MEDSYSTEMS, INC.",17,0,No,No,No
"Acoustic Range Estimates, LLC",1,1,Yes,No,No
"ACOUSTIC STRATEGIES, INC.",1,6,No,No,No
ACOUSTIC THERAPEUTICS,1,N/A,No,No,No
Acoustical Research &amp; Applicat,3,1,No,No,No
AcoustiComm,1,3,No,No,No
ACOUSTX CORPORATION,1,N/A,No,No,No
"ACP SEMICONDUCTOR, INC.",1,2,No,No,No
ACPHARIS,8,2,No,No,No
ACREE TECHNOLOGIES INCORPORATED,52,15,No,No,No
"Acrigen Biosciences, Inc.",3,4,No,No,No
"Acrion Technologies, Inc.",6,N/A,No,No,No
"Acroamatics, Inc.",1,31,No,No,No
ACROMETRIX CORPORATION,1,N/A,No,No,No
Acrow Corporation Of America ,1,320,No,No,No
"ACRYMED, INC.",9,N/A,No,No,No
"ACSILABS, INC.",1,5,No,No,No
Acsiom Labs Inc.,1,N/A,No,No,No
"Acsist Associates, Inc.",1,15,No,No,No
Act Inc,1,12,No,No,No
ACT Research Corporation,8,5,No,Yes,No
"ACTA SBIR Holdings, LLC",1,4,No,No,No
ACTA Technology,2,5,No,No,No
"ACTA, LLC",48,30,No,No,No
"ACTALITY, INC.",5,1,No,No,No
Actasys Inc.,2,6,No,No,No
"ACTIBIOMOTION, LLC",1,5,No,No,No
ACTIMATOR LLC,1,1,No,No,No
"Actinic, Inc.",2,N/A,No,No,No
"Actinium Pharmaceuticals, Inc.",1,29,No,No,No
ACTINIX,4,3,No,No,No
"Actinobac Biomed, Inc.",2,1,No,No,No
Action Management Corpon,1,N/A,No,No,No
"Activ Sitting, Inc.",2,4,No,No,No
Activ Surgical Inc,1,6,No,No,No
"Activas Diagnostics, LLC",2,4,Yes,No,No
"Activated Cell Therapy, Inc.",1,N/A,No,No,No
"Activated Research Company, LLC ",3,7,No,No,No
"ACTIVATOR METHODS INTERNATIONAL, LTD",1,N/A,No,No,No
"Activator Methods, Inc.",1,N/A,No,No,No
Active Artz,1,N/A,Yes,No,No
"Active Control eXperts, Inc.",25,45,No,No,No
"Active Decision Support, Ltd.",1,N/A,Yes,No,No
"Active Devices, Inc.",1,2,No,No,No
Active E-o Systems Inc,1,1,No,No,No
ACTIVE ENERGY SYSTEMS INC,4,3,No,No,No
"Active Impulse Sys, Inc.",2,N/A,No,No,No
Active Joint Venture,1,N/A,No,No,No
"Active Layer Parametrics, Inc.",3,3,No,No,No
"Active Life Scientific, Inc.",2,6,No,No,No
"Active Motif, Inc.",21,62,No,No,No
Active Optoelectronics,1,3,No,No,No
"Active Parallel Instrumentation, Inc",2,4,No,No,No
"ACTIVE SHOCK, INC.",5,4,No,No,No
"Active Signal Technologies, Inc.",38,8,No,No,No
"Active Spectrum, Inc.",17,5,No,No,No
Active Technologies Inc.,2,80,No,No,No
Active Therapy Systems LLC,2,1,No,No,No
"ACTIVE WAVE, INC.",1,0,No,No,No
"ACTIVE4D, INC.",1,1,No,No,No
Actively Learn Inc.,2,6,No,No,No
ACTIVEMEMS LLC,1,1,No,No,No
ACTIVESITE BIOTECH,4,N/A,No,No,No
"ActiveSite Pharmaceuticals, Inc.",3,2,No,No,No
Activity Research Services,4,3,No,No,No
Activity Rhythm Solutions Corporation,1,3,No,No,No
"Activsignal, LLC.",2,3,No,No,No
ACTIVX BIOSCIENCES,4,N/A,No,No,No
Acton Associates,1,N/A,No,No,No
Acton Research Corp.,2,N/A,No,No,No
Actoprobe LLC,6,3,No,No,No
"ACTORIUS PHARMACEUTICALS, LLC",1,2,No,No,No
Actovos LLC,2,1,No,No,No
Actran Systems Inc,1,20,No,No,No
"ACTUALITY SYSTEMS, INC.",1,9,No,No,No
Actualize Therapy LLC,1,3,No,No,No
Actuarial Forecasting And,2,N/A,No,No,No
Actuarial Research Corporation,6,N/A,No,No,No
"ACTUATED MEDICAL, INC.",44,22,Yes,No,No
"ACUCELA, INC.",2,N/A,No,No,No
AcuDisplay,1,4,No,No,No
Acuitus Inc. ,1,41,No,No,No
Acuity Imaging Inc,10,N/A,No,No,No
"ACUITY TECHNOLOGIES, INC.",12,7,No,No,No
ACUITYBIO CORPORATION,1,0,No,No,No
Aculight Corporation,144,87,No,No,No
"ACULUS, LLC",1,0,Yes,No,No
ACUMEN CONSULTING,4,1,No,No,No
Acumen Engineering And,2,N/A,No,No,No
"Acumen Pharmaceuticals, Inc ",4,4,No,No,No
"Acumen, LLC",11,326,No,No,No
"Acumentrics Rups, LLC",1,79,No,No,No
"ACURA PHARMACEUTICALS, INC.",1,15,No,No,No
AcuraStem Inc.,4,4,No,No,No
AcureX Therapeutics Corporation,1,6,No,No,No
"ACUSOFT, INC.",7,26,Yes,Yes,No
ACXEND,1,0,No,No,No
Ad Harmony,2,2,No,No,No
Ad Inter,1,N/A,No,No,No
"Ada Digital Systems, Inc",2,N/A,No,Yes,No
Ada Software Engineering Tools,1,N/A,No,No,No
"ADA TECHNOLOGIES, INC.",272,21,No,No,No
"Ada Technology Group, Inc.",1,N/A,No,Yes,No
"ADA-ES, Inc.",2,120,No,No,No
"ADAM AEROSPACE CO., LLC",1,3,No,No,No
"ADAM INSTRUMENT CO., INC.",4,3,No,No,No
Adam Spence Corpon,1,N/A,No,No,No
"Adamas Nanotechnologies, Inc.",5,1,No,No,No
"AdamLab, LLC",1,N/A,No,No,No
Adams Consulting Services,1,N/A,No,No,No
ADAP Nanotech LLC,1,2,No,No,No
"adapt laser systems, LLC",1,2,No,No,No
"Adaptech, Inc.",1,N/A,No,No,No
ADAPTELLIGENCE LLC,1,2,No,No,No
Adaptive 3D Technologies LLC,3,29,No,No,No
ADAPTIVE AEROSPACE GROUP INC,2,10,No,No,No
ADAPTIVE BIOTECHNOLOGIES CORPORATION,7,0,No,No,No
Adaptive Cognitive Systems,8,4,No,No,No
Adaptive Communications Research Inc.,2,5,Yes,No,No
Adaptive Computation LLC,2,4,No,No,No
"Adaptive Computer Systems,",2,N/A,No,No,No
Adaptive Corporation,1,22,No,No,No
ADAPTIVE DIGITAL TECHNOLOGIES,1,11,No,No,No
"ADAPTIVE DYNAMICS, INC.",18,9,No,No,No
ADAPTIVE ENERGY LLC,5,25,No,No,No
