Higher Topic,Focus Area,Content,Subtopics,Subtopics_encoding,Subtopics_name
Science,Topic S4 Low-cost Small Spacecraft and Technologies,"The Low-Cost Small Spacecraft and  Technologies Topic focuses on the technologies, subsystems, methodologies, and  mission concepts for space missions which lower the over-all cost for  scientific exploration. The ""Small"" of spacecraft and missions refers  to small spacecraft that have ""wet"" masses below 500 Kg. (compared to  micro satellites 10-100kg, nano satellite 1-10kg, or pico satellite <1kg),  are substantially less expensive, and will require different approaches to  solve traditional problems in development, operations and capability. The goal  of these low-cost missions is not to replace the major missions, but rather to  reduce the risks to, as well as the costs of, future major missions. Low-Cost  Small Spacecraft and Technologies Missions will be used as test beds for new  technologies, provide flight ""heritage"" for new instruments and  components. Increasing the number of flight opportunities per year enables missions  to be designed and flown during typical graduate and post-doctoral tenures,  provide training for a new generation of scientists and engineers. These small  spacecraft missions can also accomplish specific scientific investigations that  would be too narrow for a major mission but still scientifically important.  This topic is divided into two categories of subtopics: Small Spacecraft  Technologies and Enablers and Small Spacecraft Build.
Small Spacecraft Technologies and  Enablers: These subtopics will lower the barrier to entry for small spacecraft  missions by encouraging launch opportunities and creating open design and  spacecraft management tools. These subtopics include: 1. Nanosat launch  vehicles and technologies, 2. Rapid End-to-end Mission Design and Simulation 3.  Cost modeling. 
Small Spacecraft Build: When used  together, SBIR subtopics could create a small spacecraft mission. The subtopics  required to accomplish this effort extend beyond the Low-cost Small Spacecraft  and Technologies topic, and definition for such an effort is in progress (see  2.0, Mission Concept). In FY08, there will be multiple subtopics across the  topic portfolio participating toward this mission concept. 
Mission Concept: NASA announced a  mission concept at a Mission Concept Review (MCR) held February 8, 2008. The  spacecraft is a modular spacecraft that operates using standard protocols (high  speed: Ethernet, SpacewireTM; low speed: RS-422, I2C) and at 28V +/- 6V. With  this modularity, a requirement for the Low-Cost Small Spacecraft and  Technologies, components can be interchanged from a basic spacecraft design to  tailor for specific missions. 
The Low-Cost Small Spacecraft and  Technologies topic will invite to subsequent reviews those awardees current at  the time of the review; review titles and respective tentative dates follow: a)  System Requirements Review (SRR), tentatively August 2008; b) Mission  Definition Review (MDR), tentatively November 2008; c) Preliminary Design  Review (PDR), tentatively August 2009; Critical Design Review (CDR),  tentatively September 2010. NASA intends to make SBIR Phase 1 and Phase 2  awards to this effort, which NASA understands are a best effort by the SBIR  awardees and NASA alike. By 1QFY11, all Phase 2 and Phase 3 SBIR teams are  encouraged to deliver to NASA the hardware to be integrated and ready for  launch in 4QFY11. The Low-Cost Small Spacecraft and Technologies topic is  envisioned to launch one satellite per year or every other year, starting in  FY11, kicking off a new team at each cycle. NASA cannot direct SBIR awardees to  conform to the provisional schedule outlined above, however when brought  together this could create the opportunity for a spacecraft build. This topic  will give significant priority to offerors that take full advantage of standard  interfaces, protocols, methodologies, open source software and Commercial off  the Shelf (COTS)-derivative hardware.",S4.01NanoSat Launch Vehicle Technologies; S4.02Rapid End-to-End Mission Design and Simulation; S4.03Cost Modeling; S4.04Reusable Flight Software,S4.01; S4.02; S4.03; S4.04,NanoSat Launch Vehicle Technologies; Rapid End-to-End Mission Design and Simulation; Cost Modeling; Reusable Flight Software
Science,Topic S5 Robotic Exploration Technologies,"NASA is pursuing technologies to  enable robotic exploration of the Solar System including its planets, their  moons, and small bodies. NASA has a development program that includes technologies  for the atmospheric entry, descent, and landing, mobility systems, extreme  environments technology, sample acquisition and preparation for in situ  experiments, and in situ planetary science instruments. Robotic exploration  missions that are planned include a Europa Jupiter System mission, Titan Saturn  System mission, Venus In Situ Explorer, sample return from Comet or Asteroid  and lunar south polar basin and continued Mars exploration missions launching  every 26 months including a network lander mission, an Astrobiology Field  Laboratory, a Mars Sample Return mission and other rover missions. Numerous new  technologies will be required to enable such ambitious missions. The  solicitation for in situ planetary instruments can be found in the in situ  instruments section of this solicitation. See URL: http://solarsystem.nasa.gov/missions/index.cfm for mission information. See URL: http://marstech.jpl.nasa.gov/ for additional information on Mars Exploration technologies.","S5.01Planetary Entry, Descent, Ascent, Rendezvous and Landing Technology; S5.02Sample Collection, Processing, and Handling; S5.03Surface and Subsurface Robotic Exploration; S5.04Technologies for Low Mass Mars Ascent Vehicles (PAV)",S5.01; S5.02; S5.03; S5.04,"Planetary Entry, Descent, Ascent, Rendezvous and Landing Technology; Sample Collection, Processing, and Handling; Surface and Subsurface Robotic Exploration; Technologies for Low Mass Mars Ascent Vehicles (PAV)"
Science,Topic S6 Information Technologies,"
  Modeling and simulation are being  used more pervasively and more effectively throughout NASA, for both  engineering and science pursuits, than ever before. These are tools that allow  high fidelity simulations of systems in environments that are difficult or  impossible to create on Earth, allow removal of humans from experiments in  dangerous situations, and provide visualizations of datasets that are extremely  large and complicated. Examples of past simulation successes include  simulations of entry conditions for man-rated space flight vehicles,  visualizations of distant planet topography via simulated fly-over and  three-dimensional visualizations of coupled ocean and weather systems. In many  of these situations, assimilation of real data into a highly sophisticated  physics model is needed. Also use NASA missions and other activities to inspire  and motivate the nation's students and teachers, to engage and educate the  public, and to advance the scientific and technological capabilities of the  nation.","S6.01Technologies for Large-Scale Numerical Simulation; S6.02Sensor and Platform Data Processing & Control; S6.03Data Analyzing and Processing Algorithms; S6.04Data Management - Storage, Mining and Visualization; S6.05Software as a Service to Large Scale Modeling",S6.01; S6.02; S6.03; S6.04; S6.05,"Technologies for Large-Scale Numerical Simulation; Sensor and Platform Data Processing & Control; Data Analyzing and Processing Algorithms; Data Management - Storage, Mining and Visualization; Software as a Service to Large Scale Modeling"
Exploration Systems,Topic X1 Avionics and Software,"Exploration Technology  Development Program (ETDP) leads the Agency in the development of advanced  avionics, software and information technology capabilities and research for  Exploration Systems. The Avionics and Software elements perform mission-driven  research and development to enable new system functionality, reduce risk, and  enhance the capability for NASA's exploration missions. NASA’s focus has  clarified around Exploration, and the agency's expertise and capabilities are  being called upon to support these missions. The Ares Launch Vehicle, the Orion  Crew Exploration Vehicle (CEV), the Altair Lunar Lander, and future lunar  surface systems will each require unique advances in avionic and software  technologies such as integrated systems health management, autonomous systems  for the crew and mission operations, radiation hardened processing, and  reliable, dependable software. Exploration requires the best of the nation's  technical community to step up to providing the technologies, engineering, and  systems to regain the frontiers of the Moon, to extend our reach to Mars, and  to explore the beyond.",X1.01Automation for Vehicle and Habitat Operations; X1.02Reliable Software for Exploration Systems; X1.03Radiation Hardened/Tolerant and Low Temperature Electronics and Processors; X1.04Integrated System Health Management for Ground Operations,X1.01; X1.02; X1.03; X1.04,Automation for Vehicle and Habitat Operations; Reliable Software for Exploration Systems; Radiation Hardened/Tolerant and Low Temperature Electronics and Processors; Integrated System Health Management for Ground Operations
Exploration Systems,Topic X2 Environmental Control and Life Support,"Environmental Control and Life Support (ECLS) encompasses the process technologies and equipment necessary to provide and maintain a livable environment within the pressurized cabin of crewed spacecraft and to support associated human systems, such as EVA (Extra Vehicular Activity). Functional areas of interest to this solicitation include thermal control and ventilation, atmosphere resource management and particulate control, waste management and habitation systems, environmental monitoring and fire protection systems. Technologies must be directed at lunar transit and surface missions, including such vehicles as lunar landers, surface habitats and pressurized rovers. Requirements include operation in micro- and partial- (1/6th) gravity and compatibility with cabin atmospheres of up to 34% O2 by volume and pressures as low as 7.6 psia. Special emphasis is placed on developing technologies that will fill existing gaps; have a significant impact on reduction of mass, power, volume and crew time; and increased safety and reliability. Results of a Phase 1 contract should show feasibility of the technology and approach. A resulting Phase 2 contract should lead to development and evaluation of prototype hardware. Specific technologies of interest to this specific solicitation are addressed in each subtopic.",X2.01Spacecraft Cabin Ventilation and Thermal Control; X2.02Spacecraft Cabin Atmospheric Resource Management and Particulate Matter Removal; X2.03Spacecraft Habitation and Waste Management Systems; X2.04Spacecraft Environmental Monitoring and Control; X2.05Spacecraft Fire Protection,X2.01; X2.02; X2.03; X2.04; X2.05,Spacecraft Cabin Ventilation and Thermal Control; Spacecraft Cabin Atmospheric Resource Management and Particulate Matter Removal; Spacecraft Habitation and Waste Management Systems; Spacecraft Environmental Monitoring and Control; Spacecraft Fire Protection
Exploration Systems,Topic X3 Lunar In Situ Resource Utilization,"
  The purpose of In Situ Resource Utilization (ISRU) is to  harness and utilize resources at the site of exploration to create products and  services which can enable and significantly reduce the mass, cost, and risk of  near-term and long-term space exploration. In particular, the ability to make  propellants, life support consumables, fuel cell reagents, and radiation  shielding can significantly reduce the cost, mass, and risk of sustained human  activities beyond Earth. The ability to modify the lunar landscape for safer  landing, transfer of payloads from the lander to an outpost, dust generation  mitigation, and infrastructure emplacement and buildup are also extremely important  for long-term lunar operations. To perform these tasks on the lunar surface,  detailed knowledge of the terrain, local minerals and potential resources, and  subsurface futures is important for planning and operations at the start of  establishing long-term human presence on the lunar surface. Lastly, since ISRU  systems and operations have never been demonstrated before in missions, it is  important that ISRU concepts and technologies be evaluated under relevant  conditions (1/6 g and vacuum) as well as anchored through modeling to lunar  soil and environmental conditions. With this in mind, the ISRU Project within  the Exploration Technology Development Program (ETDP) has initiated development  and testing of hardware and systems in three main focus areas: (1) Regolith  Excavation, Handling and Material Transportation; (2) Oxygen Extraction from  Regolith; and (3) ISRU Development & Precursor Activities. The purpose of  the following subtopics is to develop and demonstrate hardware and software  technologies that can be added to on-going analysis and ISRU capability  development and demonstration activities in ETDP to meet Outpost architecture  and surface manipulation objectives for near and long term human exploration of  the Moon.",X3.01Lunar Regolith Excavation and Material Handling; X3.02Oxygen Production from Lunar Regolith; X3.03Lunar ISRU Development and Precursor Activities,X3.01; X3.02; X3.03,Lunar Regolith Excavation and Material Handling; Oxygen Production from Lunar Regolith; Lunar ISRU Development and Precursor Activities
Exploration Systems,"Topic X4 Structures, Materials and Mechanisms","The SBIR topic area of  Structures, Materials and Mechanisms centers on developing lightweight  structures, advance materials technologies, and low-temperature mechanisms for  enabling Exploration Vehicles and Lunar Surface Systems. 
Lightweight structures and  advanced materials have been identified as a critical need since the reduction  of structural mass translates directly to additional up and down mass  capability that would facilitate additional logistics capacity and increased  science return for all mission phases. The major technology drivers of the  lightweight structure technology development are to significantly enhance  structural systems by 1) lowering mass and/or improving efficient volume for  reduced launch costs, 2) improving performance to reduce risk and extend life,  and 3) improving manufacturing and processing to reduce costs.   The targeted application of the technology  is the Ares V launch vehicle, Lunar Lander, and Lunar Surface Systems such as  the crew habitats.
Low-temperature mechanism  technology is being developed for reliable and efficient operation of  mechanisms in lunar temperatures including operations in lunar shadows at -230°C  and sustained surface operations thru varying lunar temperatures of -230°C to  +120°C for lunar surface rovers, robotics, and mechanized operations. The  technology drivers of the low temperature mechanism technology development are  to significantly enhance operation of mechanized parts by 1) lowering the  operating temperature for life of the component and 2) improving mechanism  performance (torque output, actuation performance, lubrication state) at the  lunar environment conditions of cold and vacuum over the required life of the  mechanism.  The targeted application of  the technology is to provide for operation of motors and drive systems,  lubricated mechanisms, and actuators of lunar rovers and mobility systems, ISRU  machinery, robotic systems mechanisms, and surface operations machinery (i.e.,  cranes, deployment systems, airlocks) for lunar surface operations. 
This topic area is to enhance and  fill gaps in technology development programs in the Exploration Technology  Exploration Program Structures, Materials, and Mechanisms Project.  Areas of development included in the SMM  project include: low temperature drive system, motor, and gearbox system,  personal kit radiation shielding materials, low density parachute material  systems, expandable structural systems, Friction stir welded spun-domes, and  advance composite structures. This topic area is responsible for mid-level technology  research, development, and testing through experimental and/or analytical  validation.",X4.01Low Temperature Mechanisms; X4.02Advanced Radiation Shielding Materials and Structures; X4.03Expandable Structures; X4.04Composite Structures - NDE/Structures Health Monitoring; X4.05Composite Structures - Cryotanks; X4.06Composite Structures - Manufacturing,X4.01; X4.02; X4.03; X4.04; X4.05; X4.06,Low Temperature Mechanisms; Advanced Radiation Shielding Materials and Structures; Expandable Structures; Composite Structures - NDE/Structures Health Monitoring; Composite Structures - Cryotanks; Composite Structures - Manufacturing
Exploration Systems,Topic X5 Lunar Operations,"This call for technology  development is in direct support of the Exploration Systems Mission Directorate  (ESMD) Technology Development Program. The purpose of this research is to  develop component level technologies to support the Constellation Program’s  human lunar return missions.  These  initial missions will be heavily engaged in construction methods, establishing  self-sustaining power generation, and producing life support consumables in situ  in order to establish continuous operational capability via Earth based and  lunar based assets.
The objective is to produce new  technology that will reduce lunar operations workloads associated with crew  extra-vehicular activities (EVA) and intra-vehicular activities (IVA), and  reduce the total mass-volume-power of equipment and materials required to  support both short and long duration Lunar stays. The proposals must focus on  component technologies to maximize the operations of exploration hardware  allowing for less expensive, more productive and less risky missions.  
Lunar operations are a stepping  stone toward higher exploration goals. This research focuses on technology  development for the critical functions that will secure an extended human  presence on the Lunar surface and ultimately enable surface exploration for the  advancement of scientific achievements. Surface exploration begins with short  duration missions to establish extensible functional capabilities.  Successive buildup missions establish a  continuous operational platform from which to conduct scientific research while  on the lunar surface.  Reducing risk and  ensuring mission success depends on the coordinated interaction of many  functional systems including life support, power, communication infrastructure,  and transportation.  This topic addresses  technology needs associated with Lunar surface systems, interaction of humans  and machines, and extended operational life-cycles of resources by way of  eliminating environmental contamination of mechanisms.",X5.01Lunar Surface Systems; X5.02Surface System Dust Mitigation; X5.03Extravehicular Activity (EVA),X5.01; X5.02; X5.03,Lunar Surface Systems; Surface System Dust Mitigation; Extravehicular Activity (EVA)
Exploration Systems,Topic X6 Energy Generation and Storage,"
  This topic includes technology development for batteries,  fuel cells, regenerative fuel cells, and fission and isotopic power systems for  the Altair lunar lander and surface operations on the Moon and Mars.  Technologies developed must be infused into  these Constellation program elements: primary fuel cells for the Altair lunar  lander descent stage, secondary batteries for the Altair ascent stage,  secondary batteries for extravehicular activities (EVA) suits, and regenerative  fuel cells, fission and isotopic power systems on the Moon and Mars to power  habitats, in situ resource production, and mobility systems. Specific  technology goals and component needs are given in the sub-topics.  General mission priorities for energy storage  and generation include:

EVA suits require secondary batteries sufficient to   power all portable life support, communications, and electronics for an   8-hour mission with minimal volume. Battery operation required for six   months and 100 recharge cycles with a shelf life of at least two years.   Mission priorities include human-safe operation; 8-hr duration; high specific   energy; and high energy-density.
Secondary batteries for the Altair ascent stage   require nominally 10 recharge cycles with 1.7 kW nominal power and 2 kW   peak power, operating for 7 hours continuously.  Mission priorities include human-safe,   reliable operation and high energy-density in a 0 – 30°C and 0 – 1/6   gravity environment. 
The Altair descent stage requires a fuel cell with a   nominal power level of 3 kW with 5.5 kW peak, operating for 220 hours   continuously.  Mission priorities include human-safe reliable   operation; the ability to scavenge available fuel; and high   energy-density.
 Regenerative fuel cells, which combine a fuel cell with a water electrolyzer, have been baselined for lunar surface system operations. Mission priorities include reliable, long-duration maintenance-free operation; human-safe operation; high specific-energy; and high system efficiency in a 0 - 100°C, 1/6 gravity environment. 
 Architecture studies have identified nuclear power technology to effectively satisfy high power requirements for extended duration lunar surface missions. Nuclear power generation is especially attractive for missions with significant solar eclipse periods, including non-polar locations and inside lunar craters, as well as Mars outposts.
 Power systems for lunar rovers require human-safe operation; reliable, maintenance-free operation; and high specific-energy.",X6.01Fuel Cells for Surface Systems; X6.02Advanced Space-Rated Batteries,X6.01; X6.02,Fuel Cells for Surface Systems; Advanced Space-Rated Batteries
Exploration Systems,Topic X7 Cryogenic Systems,"The Exploration Systems  architecture presents cryogenic storage, distribution, and fluid handling  challenges that require new technologies to be developed. Reliable knowledge of  low-gravity cryogenic fluid management behavior is lacking and yet is critical  for Altair and Ares in the areas of storage, distribution, and low-gravity  propellant management. Additionally, Earth-based and lunar surface missions  will require success in storing and transferring liquid and gas commodities.  Some of the technology challenges are for long-term cryogenic propellant  storage and distribution; cryogenic fluid ground processing and fluid  conditioning; liquid hydrogen and liquid oxygen liquefaction processes on the  lunar surface. Furthermore, specific technologies are required in valves,  regulators, instrumentation, modeling, mass gauging, cryocoolers, and passive  and active thermal control techniques. The technical focus for component  technologies are for accuracy, reduced mass, minimal heat leak, minimal  leakage, and minimal power consumption. The anticipated technologies proposed  are expected to increase reliability, increase cryogenic system performance,  and are capable of being made flight qualified and/or certified for the flight  systems and dates to meet Exploration Systems mission requirements.",X7.01Cryogenic Storage for Space Exploration Applications; X7.02Cryogenic Fluid Transfer and Handling; X7.03Cryogenic Instrumentation for Ground and Flight Systems,X7.01; X7.02; X7.03,Cryogenic Storage for Space Exploration Applications; Cryogenic Fluid Transfer and Handling; Cryogenic Instrumentation for Ground and Flight Systems
Exploration Systems,Topic X8 Protection Systems,"The Thermal Protection System  (TPS) protects a spacecraft from the severe heating encountered during  hypersonic flight through a planetary atmosphere. In general, there are two  classes of TPS: reusable and ablative. Typically, reusable TPS applications are  limited to relatively mild entry environments like that of Space Shuttle. No  change in the mass or properties of the TPS material results from entry with a  significant amount of energy being re-radiated from the heated surface and the  remainder conducted into the TPS material. Typically, a surface coating with  high emissivity (to maximize the amount of energy re-radiated) and with low  surface catalycity (to minimize convective heating by suppressing surface  recombination of dissociated boundary layer species) is employed. The primary  insulation has low thermal conductivity to minimize the mass of material  required to insulate the primary structure. Ablative TPS materials, in  contrast, accommodate high heating rates and heat loads through phase change  and mass loss. All NASA planetary entry probes to date have used ablative TPS.  Most ablative TPS materials are reinforced composites employing organic resins  as binders. When heated, the resin pyrolyzes producing gaseous products that  are heated as they percolate toward the surface thus transferring some energy  from the solid to the gas. Additionally, the injection of the pyrolysis gases  into the boundary layer alters the boundary layer properties resulting in  reduced convective heating. However, the gases may undergo chemical reactions  with the boundary layer gases that could return heat to the surface.  Furthermore, chemical reactions between the surface material and boundary layer  species can result in consumption of the surface material leading to surface  recession. Those reactions can be endothermic (vaporization, sublimation) or  exothermic (oxidation) and will have an important impact on net energy to the  surface. Clearly, in comparison to reusable TPS materials, the interaction of ablative TPS materials with the surrounding gas environment is much more  complex as there are many more mechanisms to accommodate the entry heating.  NASA has successfully tackled the complexity of thermal protection systems for  numerous missions to inner and outer planets in our solar system in the past;  the knowledge gained has been invaluable but incomplete. Future missions will  be more demanding. Better performing ablative TPS than currently available is  needed to satisfy requirements of the most severe CEV missions, e.g., Mars  Landing with 8 km/s entry and Mars Sample Return with 12-15 km/s entry.","X8.01Detachable, Human-Rated, Ablative Environmentally Compliant TPS",X8.01,"Detachable, Human-Rated, Ablative Environmentally Compliant TPS"
Exploration Systems,Topic X9 Exploration Crew Health Capabilities,"Human space flight is associated with losses in muscle strength, bone mineral density and aerobic capacity. Crewmembers returning from the International Space Station (ISS) can lose as much as 10-20% of their strength in weight bearing and postural muscles. Likewise; bone mineral density is decreased at a rate of ~1% per month. Although aerobic capacity has not been formally measured in returning ISS crew, short duration Space Shuttle crewmembers have been shown to undergo a 22% reduction in VO2max in response to space flight. During future exploration missions such physiological decrements represent the potential for a significant loss of human performance which could lead to mission failure and/or a threat to crewmember health and safety. The ability to estimate the physical cost of exploration tasks, monitor crew health and fitness, and to provide effective hardware for exercise countermeasures use will be valuable in supporting safe and successful space exploration. Exercise systems is seeking technologies or devices to provide resistive and aerobic exercise in flight, monitor a crewmember inflight fitness state or simulate an Extra Vehicular Activity (EVA) suit on the ground.",X9.01Crew Exercise System,X9.01,Crew Exercise System
Exploration Systems,Topic X10 Exploration Medical Capability,"
  The Exploration Medical  Capability Topic is soliciting research and technology development for key  areas of crew health maintenance, including injury/illness treatment scenarios.  The Vision for Space Exploration presents significant new challenges to crew  health care capabilities. These challenges include the hazards created by the  terrain of lunar or planetary surfaces that may be difficult to traverse during  exploration, the effects of gravity transitions, low gravity environments, and  limited communications with ground-based personnel for diagnosis and  consultation. Each challenge has associated medical implications and medical  requirements and technologies to ensure safety and success. The areas of  concern for the ExMC that are targeted in this solicitation include: Non-toxic  In-flight Sprain/Strain Therapeutic Treatment; Through-suit Medication Delivery  in a Reduced Pressure Environment; Reusable Diagnostic Lab Analysis Technology;  Biosensors for Lunar EVA Suits; and a Lightweight/compact Oxygen Concentrator.  Proposals may respond to one or more of these areas. 
",X10.01In Flight Diagnosis and Treatment; X10.02EVA Suit Monitoring and Treatment,X10.01; X10.02,In Flight Diagnosis and Treatment; EVA Suit Monitoring and Treatment
Exploration Systems,Topic X11 Behavioral Health and Performance,"The Behavioral Health and Performance topic is  interested in developing strategies, tools, and technologies to mitigate  Behavioral Health and Performance risks. The Behavioral Health and Performance  topic is seeking tools and technologies to prevent performance degradation,  human errors, or failures during critical operations resulting from: fatigue or  work overload; deterioration of morale and motivation; interpersonal conflicts  or lack of team cohesion, coordination, and communication; team and individual  decision-making; performance readiness factors (fatigue, cognition, and  emotional readiness); and behavioral health disorders. For 2008, the Behavioral  Health and Performance topic is interested in the following technologies: Crew  Cohesion Monitoring Technologies; Behavioral Assessment Tools; and an  Individualized Fatigue Meter. Proposals may respond to one or more of these  areas.",X11.01Behavioral Assessment Tools,X11.01,Behavioral Assessment Tools
Exploration Systems,Topic X12 Space Human Factors and Food Systems,"The new Vision for Space Exploration encompasses needs for innovative technologies in the areas of Space Human Factors and Food Systems. Operations in confined, isolated, and foreign environments can lead to impairments of human performance. Research and development activities in the Space Human Factors and Food Systems topic address challenges that are fundamental to design and development of the next generation crewed space vehicles. These challenges include: 1) understanding the requirements for information feedback to the crew and developing technologies to ensure these requirements are met, 2) building tasks and tools that are compatible with humans and that enable human performance consistent with mission success, and 3) providing extended shelf life foods with improved nutritional content, quality and reduced packaging mass. This Topic seeks methods for monitoring, modeling, and predicting human performance in the spaceflight environment. The Space Human Factors and Food Systems is seeking new Space Human Factors Assessment Tools and Advanced Food Technologies that utilize non-foil barriers and allow food processing or preparation in a reduced gravity and pressure environment.",X12.01Space Human Factors Assessment Tools; X12.02Advanced Food Technologies,X12.01; X12.02,Space Human Factors Assessment Tools; Advanced Food Technologies
Exploration Systems,Topic X13 Space Radiation,"The goal of the NASA Space  Radiation Research Program is to assure that we can safely live and work in the  space radiation environment, anywhere, any time. Space radiation is different  from forms of radiation encountered on Earth. Radiation in space consists of  high-energy protons, heavy ions and secondary products created when the protons  and heavy ions pass through spacecraft shielding and human tissue. The Space  Radiation Program Element, within the Human Research Program uses the NASA  Research Announcement as a primary means of soliciting research to understand  the health risks and reduce the uncertainties in risk projection; however,  there are areas where the SBIR program contributes. Specific areas where SBIR  technologies can contribute to NASA’s overall goal include: reliable radiation  monitoring for manned and unmanned spaceflight; and radiation damage imaging. 
",X13.01Active Charged Particle and Neutron Radiation Measurement Technologies; X13.02Technology/Technique for Imaging Radiation Damage at the Cellular Level,X13.01; X13.02,Active Charged Particle and Neutron Radiation Measurement Technologies; Technology/Technique for Imaging Radiation Damage at the Cellular Level
Exploration Systems,Topic X14 Inflight Biological Sample Preservation and Analysis,"Flight resources such as the  International Space Station and the Lunar outpost are essential assets for the  Human Research Program goals of quantifying the human health and performance  risks for crews during exploration missions. However, the resources for  carrying supplies and returning biological samples to/from these assets are  limited. Thus the Human Research Program must identify a means for inflight  sample analysis or unique sample processing techniques that minimize the need  to return conditioned human samples for analysis. The Inflight Biological  Sample Preservation and Analysis topic is seeking innovative technologies or techniques  to: provide an On Orbit Cell Counting and Analysis capability; and On Orbit  Ambient Biological Sample Preservation Techniques.
",X14.01On Orbit Ambient Biological Sample Preservation Techniques; X14.02On Orbit Cell Counting and Analysis Capability,X14.01; X14.02,On Orbit Ambient Biological Sample Preservation Techniques; On Orbit Cell Counting and Analysis Capability
